id	country	population	x	y
0	0	300	4	1.8
1	0	300	4	4.2
2	0	300	4	5.4
3	0	300	8	0.6
4	0	300	8	1.8
5	0	3000	4	3
6	0	300	8	5.4
7	0	300	6	1.8
8	0	3000	5	6
9	0	3000	6	0.6
10	0	300	5	4.8
11	0	300	5	1.2
12	0	300	5	2.4
13	0	300	9	3.6
14	0	300	5	3.6
15	0	300	7	2.4
16	0	300	6	4.2
17	0	300	6	3
18	0	30000	7	3.6
19	0	300	8	3
20	0	300	8	4.2
21	0	300	7	4.8
22	0	300	7	1.2
23	0	300	7	0
24	0	300	7	6
25	0	300	7	7.2
26	0	300	6	5.4
27	0	3000	8	6.6
28	0	3000	9	1.2
29	0	300	6	6.6
30	0	300	9	2.4
31	0	300	9	4.8
32	0	300	9	6
33	0	300	10	1.8
34	0	300	10	3
35	0	3000	10	4.2
36	0	300	10	5.4
37	1	300	1	8.4
38	1	3000	1	9.6
39	1	300	1	10.8
40	1	300	1	12
41	1	300	2	7.8
42	1	300	2	9
43	1	300	2	10.2
44	1	300	2	11.4
45	1	3000	2	12.6
46	1	3000	3	7.2
47	1	300	3	8.4
48	1	300	3	9.6
49	1	300	3	10.8
50	1	300	3	12
51	1	300	3	13.2
52	1	300	4	6.6
53	1	300	4	7.8
54	1	300	4	9
55	1	30000	4	10.2
56	1	300	4	11.4
57	1	300	4	12.6
58	1	300	4	13.8
59	1	300	5	7.2
60	1	300	5	8.4
61	1	300	5	9.6
62	1	300	5	10.8
63	1	300	5	12
64	1	3000	5	13.2
65	1	3000	6	7.8
66	1	300	6	9
67	1	300	6	10.2
68	1	300	6	11.4
69	1	300	6	12.6
70	1	300	7	8.4
71	1	300	7	9.6
72	1	3000	7	10.8
73	1	300	7	12
74	2	300	8	7.8
75	2	3000	8	9
76	2	300	8	10.2
77	2	300	8	11.4
78	2	300	9	7.2
79	2	300	9	8.4
80	2	300	9	9.6
81	2	300	9	10.8
82	2	3000	9	12
83	2	3000	10	6.6
84	2	300	10	7.8
85	2	300	10	9
86	2	300	10	10.2
87	2	300	10	11.4
88	2	300	10	12.6
89	2	300	11	6
90	2	300	11	7.2
91	2	300	11	8.4
92	2	30000	11	9.6
93	2	300	11	10.8
94	2	300	11	12
95	2	300	11	13.2
96	2	300	12	6.6
97	2	300	12	7.8
98	2	300	12	9
99	2	300	12	10.2
100	2	300	12	11.4
101	2	3000	12	12.6
102	2	3000	13	7.2
103	2	300	13	8.4
104	2	300	13	9.6
105	2	300	13	10.8
106	2	300	13	12
107	2	300	14	7.8
108	2	300	14	8.4
109	2	3000	14	10.2
110	2	300	14	11.4
