NUTS2	id	country	population	x	y
BE1	0	0	971	-743034	144992
BE2	1	0	5959	-743184.8	168870.2
BE3	2	0	3351	-711903.4	91806
DE1	3	1	10560	-440647	-142500
DE2	4	1	15352	-265384.4286	-91997
DE3	5	1	3386	-104480	280340
DE4	6	1	2596	-105963.5	272652
DE5	7	1	660	-416806	371193
DE6	8	1	1721	-328304	406534
DE7	9	1	6072	-421909.6667	81806.33333
DE8	10	1	1768	-152575	422226
DE9	11	1	7939	-381588.25	307901.75
DEA	12	1	18027	-516372.4	192157.6
DEB	13	1	4041	-543006.6667	16533.33333
DEC	14	1	1067	-580718	-36726
DED	15	1	4404	-123033.6667	121684
DEE	16	1	2598	-224783	228296
DEF	17	1	2796	-334009	477427
DEG	18	1	2421	-276713	107971
FR10	19	2	11055	-911140	-67681
FR21	20	2	1339	-761538	-89642
FR22	21	2	1866	-873365	31422
FR23	22	2	1786	-1005162	27431
FR24	23	2	2455	-995072	-189116
FR25	24	2	1431	-1123085	-529
FR26	25	2	1609	-816747	-244720
FR30	26	2	4014	-865181	123768
FR41	27	2	2316	-646655	-100571
FR42	28	2	1762	-557349	-160962
FR43	29	2	1124	-673923	-274144
FR51	30	2	3277	-1180489	-155330
FR52	31	2	2950	-1309389	-43033
FR53	32	2	1657	-1150305	-311835
FR61	33	2	2956	-1203563	-507061
FR62	34	2	2602	-1078329	-596854
FR63	35	2	710	-1024077	-378412
FR71	36	2	5743	-753767	-458871
FR72	37	2	1312	-916182	-409365
FR81	38	2	2361	-942724	-639112
FR82	39	2	4602	-713408	-632355
LU00	40	3	442	-637169	11527
NL1	41	4	1678	-571456.6667	372077
NL2	42	4	3366	-612261.3333	296404.3333
NL3	43	4	7472	-709874.75	274119
NL4	44	4	3526	-653414	196767
