id	country	population	x	y	touristic
0	0	1000	4	1.8	0
1	0	1000	4	4.2	0
2	0	1000	4	5.4	0
3	0	1000	8	0.6	0
4	0	1000	8	1.8	0
5	0	10000	4	3	0
6	0	1000	8	5.4	0
7	0	1000	6	1.8	0
8	0	10000	5	6	0
9	0	10000	6	0.6	0
10	0	1000	5	4.8	0
11	0	1000	5	1.2	0
12	0	1000	5	2.4	0
13	0	1000	9	3.6	0
14	0	1000	5	3.6	0
15	0	1000	7	2.4	0
16	0	1000	6	4.2	0
17	0	1000	6	3	0
18	0	100000	7	3.6	0
19	0	1000	8	3	0
20	0	1000	8	4.2	0
21	0	1000	7	4.8	0
22	0	1000	7	1.2	0
23	0	1000	7	0	0
24	0	1000	7	6	0
25	0	1000	7	7.2	0
26	0	1000	6	5.4	0
27	0	10000	8	6.6	0
28	0	10000	9	1.2	0
29	0	1000	6	6.6	0
30	0	1000	9	2.4	0
31	0	1000	9	4.8	0
32	0	1000	9	6	0
33	0	1000	10	1.8	0
34	0	1000	10	3	0
35	0	10000	10	4.2	0
36	0	1000	10	5.4	0
37	1	1000	1	8.4	0
38	1	10000	1	9.6	0
39	1	1000	1	10.8	0
40	1	1000	1	12	0
41	1	1000	2	7.8	0
42	1	1000	2	9	0
43	1	1000	2	10.2	0
44	1	1000	2	11.4	0
45	1	10000	2	12.6	0
46	1	10000	3	7.2	0
47	1	1000	3	8.4	0
48	1	1000	3	9.6	0
49	1	1000	3	10.8	0
50	1	1000	3	12	0
51	1	1000	3	13.2	0
52	1	1000	4	6.6	0
53	1	1000	4	7.8	0
54	1	1000	4	9	0
55	1	100000	4	10.2	0
56	1	1000	4	11.4	0
57	1	1000	4	12.6	0
58	1	1000	4	13.8	0
59	1	1000	5	7.2	0
60	1	1000	5	8.4	0
61	1	1000	5	9.6	0
62	1	1000	5	10.8	0
63	1	1000	5	12	0
64	1	10000	5	13.2	0
65	1	10000	6	7.8	0
66	1	1000	6	9	0
67	1	1000	6	10.2	0
68	1	1000	6	11.4	0
69	1	1000	6	12.6	0
70	1	1000	7	8.4	0
71	1	1000	7	9.6	0
72	1	10000	7	10.8	0
73	1	1000	7	12	0
74	2	1000	8	7.8	0
75	2	10000	8	9	0
76	2	1000	8	10.2	0
77	2	1000	8	11.4	0
78	2	1000	9	7.2	0
79	2	1000	9	8.4	0
80	2	1000	9	9.6	0
81	2	1000	9	10.8	0
82	2	10000	9	12	0
83	2	10000	10	6.6	0
84	2	1000	10	7.8	0
85	2	1000	10	9	0
86	2	1000	10	10.2	0
87	2	1000	10	11.4	0
88	2	1000	10	12.6	0
89	2	1000	11	6	0
90	2	1000	11	7.2	0
91	2	1000	11	8.4	0
92	2	100000	11	9.6	0
93	2	1000	11	10.8	0
94	2	1000	11	12	0
95	2	1000	11	13.2	1
96	2	1000	12	6.6	0
97	2	1000	12	7.8	0
98	2	1000	12	9	0
99	2	1000	12	10.2	0
100	2	1000	12	11.4	0
101	2	10000	12	12.6	1
102	2	10000	13	7.2	0
103	2	1000	13	8.4	0
104	2	1000	13	9.6	0
105	2	1000	13	10.8	0
106	2	1000	13	12	1
107	2	1000	14	7.8	0
108	2	1000	14	8.4	0
109	2	10000	14	10.2	0
110	2	1000	14	11.4	1			
