id	country	population	x	y	touristic
0	0	971	-743034	144992	1
1	0	5959	-743184.8	168870.2	1
2	0	3351	-711903.4	91806	0
3	1	10560	-440647	-142500	1
4	1	15352	-265384.4286	-91997	1
5	1	3386	-104480	280340	1
6	1	2596	-105963.5	272652	0
7	1	660	-416806	371193	0
8	1	1721	-328304	406534	0
9	1	6072	-421909.6667	81806.33333	1
10	1	1768	-152575	422226	0
11	1	7939	-381588.25	307901.75	0
12	1	18027	-516372.4	192157.6	1
13	1	4041	-543006.6667	16533.33333	0
14	1	1067	-580718	-36726	0
15	1	4404	-123033.6667	121684	0
16	1	2598	-224783	228296	0
17	1	2796	-334009	477427	0
18	1	2421	-276713	107971	0
19	2	11055	-911140	-67681	1
20	2	1339	-761538	-89642	0
21	2	1866	-873365	31422	0
22	2	1786	-1005162	27431	0
23	2	2455	-995072	-189116	0
24	2	1431	-1123085	-529	0
25	2	1609	-816747	-244720	0
26	2	4014	-865181	123768	0
27	2	2316	-646655	-100571	0
28	2	1762	-557349	-160962	0
29	2	1124	-673923	-274144	0
30	2	3277	-1180489	-155330	0
31	2	2950	-1309389	-43033	0
32	2	1657	-1150305	-311835	0
33	2	2956	-1203563	-507061	0
34	2	2602	-1078329	-596854	1
35	2	710	-1024077	-378412	0
36	2	5743	-753767	-458871	1
37	2	1312	-916182	-409365	0
38	2	2361	-942724	-639112	0
39	2	4602	-713408	-632355	1
40	3	442	-637169	11527	0
41	4	1678	-571456.6667	372077	0
42	4	3366	-612261.3333	296404.3333	0
43	4	7472	-709874.75	274119	1
44	4	3526	-653414	196767	0
